Freq.	Temp.	E'(G')	"E""(G"")"	tanD
Hz	Cel	Pa	Pa	
20	141.5172729	36075092.07	5108031.459	0.14159441
10	141.7362823	37166638.34	4542374.602	0.122216456
5	141.9668579	35211418.94	3711110.93	0.105395094
1	142.342392	33156026.25	3239028.727	0.0976905
0.200000003	143.1960449	34533915.11	6125445.283	0.177374765
20	143.4082184	37400265.18	5187422.11	0.138700143
10	143.6248016	37678086.41	4463567.065	0.118465863
5	143.8489075	35894764.5	3828072.677	0.106647104
1	144.2223358	35844689.26	2951557.801	0.08234296
0.200000003	145.0515442	33307265.79	9432876.575	0.283207774
20	145.2649689	36812193.29	5048005.803	0.137128636
10	145.4793549	35567343.98	4143073.003	0.116485313
5	145.7254639	36520044.82	3920039.592	0.107339397
1	146.0992126	33259400.76	2816729.796	0.084689736
0.200000003	146.9145813	34376159.04	2045643.568	0.059507627
20	147.1214142	37434852.66	4753094.169	0.126969755
10	147.3291931	36734901.2	4525890.539	0.123204105
5	147.5636749	35051801.48	3852550.408	0.109910198
1	147.9242096	34279447.76	3157377.747	0.09210702
0.200000003	148.7835999	31108160.66	6553684.964	0.210674137
20	149.0001678	38564458.19	6160653.364	0.159749508
10	149.2170563	36015123.06	4411480.881	0.122489683
5	149.4352112	36041919.39	3766498.164	0.104503259
1	149.7991943	34873586.31	2841249.702	0.081472829
0.200000003	150.656311	32075377.81	5539092.986	0.17268987
20	150.8831177	38432324.9	4789483.554	0.124621227
10	151.1064606	38063513.49	3862822.743	0.101483613
5	151.3373566	38068302.28	4476290.025	0.117585756
1	151.7205048	36001702.07	2947350.093	0.081866965
0.200000003	152.5663757	35067758.66	3012885.174	0.085916102
20	152.7872162	38812904.51	4890599.363	0.126004472
10	153.0052032	36809855.95	3599622.953	0.097789645
5	153.2169189	37384516.63	3834856.517	0.102578737
1	153.5786743	34303952.39	2845009.175	0.082935318
0.200000003	154.3956146	41620263.54	11015261.05	0.264661014
20	154.6130524	38643797.5	4370960.803	0.113108985
10	154.8370056	39204176.59	5000571.081	0.127552003
5	155.0666656	37034697.38	3697412.447	0.099836446
1	155.4472046	35706759.88	3226948.17	0.090373591
0.200000003	156.2684021	34773960.68	7851362.494	0.225782812
20	156.4895172	40899210.78	3126099.265	0.076434217
10	156.7055664	37123888.08	3717915.144	0.100148857
5	156.9368134	37771762.74	5095171.176	0.134893656
1	157.3021698	35180166.33	4932857.78	0.140217006
0.200000003	158.09552	39300405.41	8150080.462	0.207379043
20	158.3141174	39318175.09	4548547.619	0.115685619
10	158.5206757	39499490.41	5030120.801	0.127346471
5	158.7642517	39156412.62	3627581.436	0.092643358
1	159.1375122	37102102.21	5940401.866	0.16010958
0.200000003	160.0007782	39030055.85	5380786	0.137862623
20	160.2117767	39828286.61	4098882.283	0.102913849
10	160.4265594	40505888.24	4983626.151	0.123034611
5	160.6416626	37593358.5	3753344.898	0.099840641
1	160.9858398	38621571.54	2994025.87	0.077522114
0.200000003	161.858902	35375094.97	7335480.147	0.207362831
20	162.0888824	42491453.99	4290841.566	0.100981288
10	162.3141022	38988338.99	4075015.782	0.104518838
5	162.5393372	39343269.76	3625916.445	0.092161037
1	162.8822327	37223973.36	3019802.262	0.0811252
0.200000003	163.6967773	33344076.51	9557439.581	0.286630809
20	163.9324493	42188397.92	4954837.21	0.117445491
10	164.1715851	39670331.69	3987569.933	0.10051769
5	164.4145355	38755817.25	3676104.147	0.094852962
1	164.7827454	39495526.38	5823339.469	0.147443011
0.200000003	165.5745087	46426905.95	3559815.568	0.076675698
20	165.7836151	42266540.84	4915764.524	0.116303921
10	165.9990234	40029464.46	3864533.372	0.096542224
5	166.2381744	41347182.2	3751592.705	0.090733938
1	166.6288757	43787741.18	4883809.003	0.111533709
0.200000003	167.492691	31492260.96	11463423.17	0.364007622
20	167.7088013	41718862.3	4077531.605	0.097738318
10	167.9277802	42731955.95	4044454.68	0.09464708
5	168.1547241	41523033.93	3364899.969	0.081036948
1	168.5089722	39649047.84	2859104.55	0.072110295
0.200000003	169.3734283	32547234.47	8018806.964	0.246374443
20	169.6048126	43693210.76	5019220.122	0.114874139
10	169.8317566	40561068.47	4651394.839	0.114676341
